microorganism;antibiotic
Enterococcus gallinarum;Cefetamet pivoxil
Enterococcus gallinarum;Cefetecol
Enterococcus gallinarum;Cefetrizole
Enterococcus gallinarum;Cefiderocol
Enterococcus gallinarum;Cefixime
Enterococcus gallinarum;Cefmenoxime
Enterococcus gallinarum;Cefmetazole
Enterococcus gallinarum;Cefodizime
Enterococcus gallinarum;Cefonicid
Enterococcus gallinarum;Cefoperazone
Enterococcus gallinarum;Cefoperazone/sulbactam
Enterococcus gallinarum;Ceforanide
Enterococcus gallinarum;Cefoselis
Enterococcus gallinarum;Cefotaxime
Enterococcus gallinarum;Cefotaxime/clavulanic acid
Enterococcus gallinarum;Cefotaxime/sulbactam
Enterococcus gallinarum;Cefotetan
Enterococcus gallinarum;Cefotiam
Enterococcus gallinarum;Cefotiam hexetil
Enterococcus gallinarum;Cefovecin
Enterococcus gallinarum;Cefoxitin
Enterococcus gallinarum;Cefozopran
Enterococcus gallinarum;Cefpimizole
Enterococcus gallinarum;Cefpiramide
Enterococcus gallinarum;Cefpirome
Enterococcus gallinarum;Cefpodoxime
Enterococcus gallinarum;Cefpodoxime proxetil
Enterococcus gallinarum;Cefpodoxime/clavulanic acid
Enterococcus gallinarum;Cefprozil
Enterococcus gallinarum;Cefquinome
Enterococcus gallinarum;Cefroxadine
Enterococcus gallinarum;Cefsulodin
Enterococcus gallinarum;Cefsumide
Enterococcus gallinarum;Ceftaroline
Enterococcus gallinarum;Ceftaroline/avibactam
Enterococcus gallinarum;Ceftazidime
Enterococcus gallinarum;Ceftazidime/avibactam
Enterococcus gallinarum;Ceftazidime/clavulanic acid
Enterococcus gallinarum;Cefteram
Enterococcus gallinarum;Cefteram pivoxil
Enterococcus gallinarum;Ceftezole
Enterococcus gallinarum;Ceftibuten
Enterococcus gallinarum;Ceftiofur
Enterococcus gallinarum;Ceftizoxime
Enterococcus gallinarum;Ceftizoxime alapivoxil
Enterococcus gallinarum;Ceftobiprole
Enterococcus gallinarum;Ceftobiprole medocaril
Enterococcus gallinarum;Ceftolozane/tazobactam
Enterococcus gallinarum;Ceftriaxone
Enterococcus gallinarum;Ceftriaxone/beta-lactamase inhibitor
Enterococcus gallinarum;Cefuroxime
Enterococcus gallinarum;Cefuroxime axetil
Enterococcus gallinarum;Cephradine
Enterococcus gallinarum;Clarithromycin
Enterococcus gallinarum;Clindamycin
Enterococcus gallinarum;Colistin
Enterococcus gallinarum;Dibekacin
Enterococcus gallinarum;Dirithromycin
Enterococcus gallinarum;Erythromycin
Enterococcus gallinarum;Flurithromycin
Enterococcus gallinarum;Framycetin
Enterococcus gallinarum;Fusidic acid
Enterococcus gallinarum;Gamithromycin
Enterococcus gallinarum;Gentamicin
Enterococcus gallinarum;Habekacin
Enterococcus gallinarum;Hygromycin
Enterococcus gallinarum;Isepamicin
Enterococcus gallinarum;Josamycin
Enterococcus gallinarum;Kanamycin
Enterococcus gallinarum;Kanamycin/cephalexin
Enterococcus gallinarum;Kitasamycin
Enterococcus gallinarum;Latamoxef
Enterococcus gallinarum;Loracarbef
Enterococcus gallinarum;Meleumycin
Enterococcus gallinarum;Micronomicin
Enterococcus gallinarum;Midecamycin
Enterococcus gallinarum;Miocamycin
Enterococcus gallinarum;Nafithromycin
Enterococcus gallinarum;Nalidixic acid
Enterococcus gallinarum;Neomycin
Enterococcus gallinarum;Netilmicin
Enterococcus gallinarum;Oleandomycin
Enterococcus gallinarum;Pentisomicin
Enterococcus gallinarum;Plazomicin
Enterococcus gallinarum;Polymyxin B
Enterococcus gallinarum;Propikacin
Enterococcus gallinarum;Quinupristin/dalfopristin
Enterococcus gallinarum;Ribostamycin
Enterococcus gallinarum;Rokitamycin
Enterococcus gallinarum;Roxithromycin
Enterococcus gallinarum;Sisomicin
Enterococcus gallinarum;Solithromycin
Enterococcus gallinarum;Spiramycin
Enterococcus gallinarum;Streptoduocin
Enterococcus gallinarum;Streptomycin
Enterococcus gallinarum;Sulfadiazine
Enterococcus gallinarum;Sulfadiazine/tetroxoprim
Enterococcus gallinarum;Sulfadimethoxine
Enterococcus gallinarum;Sulfadimidine
Enterococcus gallinarum;Sulfafurazole
Enterococcus gallinarum;Sulfaisodimidine
Enterococcus gallinarum;Sulfalene
Enterococcus gallinarum;Sulfamazone
Enterococcus gallinarum;Sulfamerazine
Enterococcus gallinarum;Sulfamethizole
Enterococcus gallinarum;Sulfamethoxazole
Enterococcus gallinarum;Sulfamethoxypyridazine
Enterococcus gallinarum;Sulfametomidine
Enterococcus gallinarum;Sulfametoxydiazine
Enterococcus gallinarum;Sulfamoxole
Enterococcus gallinarum;Sulfanilamide
Enterococcus gallinarum;Sulfaperin
Enterococcus gallinarum;Sulfaphenazole
Enterococcus gallinarum;Sulfapyridine
Enterococcus gallinarum;Sulfathiazole
Enterococcus gallinarum;Sulfathiourea
Enterococcus gallinarum;Telithromycin
Enterococcus gallinarum;Temocillin
Enterococcus gallinarum;Tildipirosin
Enterococcus gallinarum;Tilmicosin
Enterococcus gallinarum;Tobramycin
Enterococcus gallinarum;Troleandomycin
Enterococcus gallinarum;Tulathromycin
Enterococcus gallinarum;Tylosin
Enterococcus gallinarum;Tylvalosin
Enterococcus gallinarum;Vancomycin
Enterococcus gilvus;Aztreonam
Enterococcus gilvus;Colistin
Enterococcus gilvus;Nalidixic acid
Enterococcus gilvus;Polymyxin B
Enterococcus gilvus;Temocillin
Enterococcus haemoperoxidus;Aztreonam
Enterococcus haemoperoxidus;Colistin
Enterococcus haemoperoxidus;Nalidixic acid
Enterococcus haemoperoxidus;Polymyxin B
Enterococcus haemoperoxidus;Temocillin
Enterococcus hermanniensis;Aztreonam
Enterococcus hermanniensis;Colistin
Enterococcus hermanniensis;Nalidixic acid
Enterococcus hermanniensis;Polymyxin B
Enterococcus hermanniensis;Temocillin
Enterococcus hirae;Aztreonam
Enterococcus hirae;Colistin
Enterococcus hirae;Nalidixic acid
Enterococcus hirae;Polymyxin B
Enterococcus hirae;Temocillin
Enterococcus hulanensis;Aztreonam
Enterococcus hulanensis;Colistin
Enterococcus hulanensis;Nalidixic acid
Enterococcus hulanensis;Polymyxin B
Enterococcus hulanensis;Temocillin
Enterococcus innesii;Aztreonam
Enterococcus innesii;Colistin
Enterococcus innesii;Nalidixic acid
Enterococcus innesii;Polymyxin B
Enterococcus innesii;Temocillin
Enterococcus italicus;Aztreonam
Enterococcus italicus;Colistin
Enterococcus italicus;Nalidixic acid
Enterococcus italicus;Polymyxin B
Enterococcus italicus;Temocillin
Enterococcus lactis;Aztreonam
Enterococcus lactis;Colistin
Enterococcus lactis;Nalidixic acid
Enterococcus lactis;Polymyxin B
Enterococcus lactis;Temocillin
Enterococcus larvae;Aztreonam
Enterococcus larvae;Colistin
Enterococcus larvae;Nalidixic acid
Enterococcus larvae;Polymyxin B
Enterococcus larvae;Temocillin
Enterococcus lemanii;Aztreonam
Enterococcus lemanii;Colistin
Enterococcus lemanii;Nalidixic acid
Enterococcus lemanii;Polymyxin B
Enterococcus lemanii;Temocillin
Enterococcus malodoratus;Aztreonam
Enterococcus malodoratus;Colistin
Enterococcus malodoratus;Nalidixic acid
Enterococcus malodoratus;Polymyxin B
Enterococcus malodoratus;Temocillin
Enterococcus massiliensis;Aztreonam
Enterococcus massiliensis;Colistin
Enterococcus massiliensis;Nalidixic acid
Enterococcus massiliensis;Polymyxin B
Enterococcus massiliensis;Temocillin
Enterococcus montenegrensis;Aztreonam
Enterococcus montenegrensis;Colistin
Enterococcus montenegrensis;Nalidixic acid
Enterococcus montenegrensis;Polymyxin B
Enterococcus montenegrensis;Temocillin
Enterococcus moraviensis;Aztreonam
Enterococcus moraviensis;Colistin
Enterococcus moraviensis;Nalidixic acid
Enterococcus moraviensis;Polymyxin B
Enterococcus moraviensis;Temocillin
Enterococcus mundtii;Aztreonam
Enterococcus mundtii;Colistin
Enterococcus mundtii;Nalidixic acid
Enterococcus mundtii;Polymyxin B
Enterococcus mundtii;Temocillin
Enterococcus nangangensis;Aztreonam
Enterococcus nangangensis;Colistin
Enterococcus nangangensis;Nalidixic acid
Enterococcus nangangensis;Polymyxin B
Enterococcus nangangensis;Temocillin
Enterococcus olivae;Aztreonam
Enterococcus olivae;Colistin
Enterococcus olivae;Nalidixic acid
Enterococcus olivae;Polymyxin B
Enterococcus olivae;Temocillin
Enterococcus pallens;Aztreonam
Enterococcus pallens;Colistin
Enterococcus pallens;Nalidixic acid
Enterococcus pallens;Polymyxin B
Enterococcus pallens;Temocillin
Enterococcus phoeniculicola;Aztreonam
Enterococcus phoeniculicola;Colistin
Enterococcus phoeniculicola;Nalidixic acid
Enterococcus phoeniculicola;Polymyxin B
Enterococcus phoeniculicola;Temocillin
Enterococcus pingfangensis;Aztreonam
Enterococcus pingfangensis;Colistin
Enterococcus pingfangensis;Nalidixic acid
Enterococcus pingfangensis;Polymyxin B
Enterococcus pingfangensis;Temocillin
Enterococcus plantarum;Aztreonam
Enterococcus plantarum;Colistin
Enterococcus plantarum;Nalidixic acid
Enterococcus plantarum;Polymyxin B
Enterococcus plantarum;Temocillin
Enterococcus porcinus;Aztreonam
Enterococcus porcinus;Colistin
Enterococcus porcinus;Nalidixic acid
Enterococcus porcinus;Polymyxin B
Enterococcus porcinus;Temocillin
Enterococcus pseudoavium;Aztreonam
Enterococcus pseudoavium;Colistin
Enterococcus pseudoavium;Nalidixic acid
Enterococcus pseudoavium;Polymyxin B
Enterococcus pseudoavium;Temocillin
Enterococcus quebecensis;Aztreonam
Enterococcus quebecensis;Colistin
Enterococcus quebecensis;Nalidixic acid
Enterococcus quebecensis;Polymyxin B
Enterococcus quebecensis;Temocillin
Enterococcus raffinosus;Aztreonam
Enterococcus raffinosus;Colistin
Enterococcus raffinosus;Nalidixic acid
Enterococcus raffinosus;Polymyxin B
Enterococcus raffinosus;Temocillin
Enterococcus ratti;Aztreonam
Enterococcus ratti;Colistin
Enterococcus ratti;Nalidixic acid
Enterococcus ratti;Polymyxin B
Enterococcus ratti;Temocillin
Enterococcus rivorum;Aztreonam
Enterococcus rivorum;Colistin
Enterococcus rivorum;Nalidixic acid
Enterococcus rivorum;Polymyxin B
Enterococcus rivorum;Temocillin
Enterococcus rotai;Aztreonam
Enterococcus rotai;Colistin
Enterococcus rotai;Nalidixic acid
Enterococcus rotai;Polymyxin B
Enterococcus rotai;Temocillin
Enterococcus saccharolyticus;Aztreonam
Enterococcus saccharolyticus;Colistin
Enterococcus saccharolyticus;Nalidixic acid
Enterococcus saccharolyticus;Polymyxin B
Enterococcus saccharolyticus;Temocillin
Enterococcus saccharolyticus saccharolyticus;Aztreonam
Enterococcus saccharolyticus saccharolyticus;Colistin
Enterococcus saccharolyticus saccharolyticus;Nalidixic acid
Enterococcus saccharolyticus saccharolyticus;Polymyxin B
Enterococcus saccharolyticus saccharolyticus;Temocillin
Enterococcus saccharolyticus taiwanensis;Aztreonam
Enterococcus saccharolyticus taiwanensis;Colistin
Enterococcus saccharolyticus taiwanensis;Nalidixic acid
Enterococcus saccharolyticus taiwanensis;Polymyxin B
Enterococcus saccharolyticus taiwanensis;Temocillin
Enterococcus saccharominimus;Aztreonam
Enterococcus saccharominimus;Colistin
Enterococcus saccharominimus;Nalidixic acid
Enterococcus saccharominimus;Polymyxin B
Enterococcus saccharominimus;Temocillin
Enterococcus saigonensis;Aztreonam
Enterococcus saigonensis;Colistin
Enterococcus saigonensis;Nalidixic acid
Enterococcus saigonensis;Polymyxin B
Enterococcus saigonensis;Temocillin
Enterococcus seriolicida;Aztreonam
Enterococcus seriolicida;Colistin
Enterococcus seriolicida;Nalidixic acid
Enterococcus seriolicida;Polymyxin B
Enterococcus seriolicida;Temocillin
Enterococcus silesiacus;Aztreonam
Enterococcus silesiacus;Colistin
Enterococcus silesiacus;Nalidixic acid
Enterococcus silesiacus;Polymyxin B
Enterococcus silesiacus;Temocillin
Enterococcus solitarius;Aztreonam
Enterococcus solitarius;Colistin
Enterococcus solitarius;Nalidixic acid
Enterococcus solitarius;Polymyxin B
Enterococcus solitarius;Temocillin
Enterococcus songbeiensis;Aztreonam
Enterococcus songbeiensis;Colistin
Enterococcus songbeiensis;Nalidixic acid
Enterococcus songbeiensis;Polymyxin B
Enterococcus songbeiensis;Temocillin
Enterococcus sulfureus;Aztreonam
Enterococcus sulfureus;Colistin
Enterococcus sulfureus;Nalidixic acid
Enterococcus sulfureus;Polymyxin B
Enterococcus sulfureus;Temocillin
Enterococcus termitis;Aztreonam
Enterococcus termitis;Colistin
Enterococcus termitis;Nalidixic acid
Enterococcus termitis;Polymyxin B
Enterococcus termitis;Temocillin
Enterococcus thailandicus;Aztreonam
Enterococcus thailandicus;Colistin
Enterococcus thailandicus;Nalidixic acid
Enterococcus thailandicus;Polymyxin B
Enterococcus thailandicus;Temocillin
Enterococcus ureasiticus;Aztreonam
Enterococcus ureasiticus;Colistin
Enterococcus ureasiticus;Nalidixic acid
Enterococcus ureasiticus;Polymyxin B
Enterococcus ureasiticus;Temocillin
Enterococcus ureilyticus;Aztreonam
Enterococcus ureilyticus;Colistin
Enterococcus ureilyticus;Nalidixic acid
Enterococcus ureilyticus;Polymyxin B
Enterococcus ureilyticus;Temocillin
Enterococcus viikkiensis;Aztreonam
Enterococcus viikkiensis;Colistin
Enterococcus viikkiensis;Nalidixic acid
Enterococcus viikkiensis;Polymyxin B
Enterococcus viikkiensis;Temocillin
Enterococcus villorum;Aztreonam
Enterococcus villorum;Colistin
Enterococcus villorum;Nalidixic acid
Enterococcus villorum;Polymyxin B
Enterococcus villorum;Temocillin
Enterococcus wangshanyuanii;Aztreonam
Enterococcus wangshanyuanii;Colistin
Enterococcus wangshanyuanii;Nalidixic acid
Enterococcus wangshanyuanii;Polymyxin B
Enterococcus wangshanyuanii;Temocillin
Enterococcus xiangfangensis;Aztreonam
Enterococcus xiangfangensis;Colistin
Enterococcus xiangfangensis;Nalidixic acid
Enterococcus xiangfangensis;Polymyxin B
Enterococcus xiangfangensis;Temocillin
Enterococcus xinjiangensis;Aztreonam
Enterococcus xinjiangensis;Colistin
Enterococcus xinjiangensis;Nalidixic acid
Enterococcus xinjiangensis;Polymyxin B
Enterococcus xinjiangensis;Temocillin
Enterorhabdus;Aztreonam
Enterorhabdus;Colistin
Enterorhabdus;Nalidixic acid
Enterorhabdus;Polymyxin B
Enterorhabdus;Temocillin
Enterorhabdus caecimuris;Aztreonam
Enterorhabdus caecimuris;Colistin
Enterorhabdus caecimuris;Nalidixic acid
Enterorhabdus caecimuris;Polymyxin B
Enterorhabdus caecimuris;Temocillin
Enterorhabdus mucosicola;Aztreonam
Enterorhabdus mucosicola;Colistin
Enterorhabdus mucosicola;Nalidixic acid
Enterorhabdus mucosicola;Polymyxin B
Enterorhabdus mucosicola;Temocillin
Enterorhabdus muris;Aztreonam
Enterorhabdus muris;Colistin
Enterorhabdus muris;Nalidixic acid
Enterorhabdus muris;Polymyxin B
Enterorhabdus muris;Temocillin
Enteroscipio;Aztreonam
Enteroscipio;Colistin
Enteroscipio;Nalidixic acid
Enteroscipio;Polymyxin B
Enteroscipio;Temocillin
Enteroscipio rubneri;Aztreonam
Enteroscipio rubneri;Colistin
Enteroscipio rubneri;Nalidixic acid
Enteroscipio rubneri;Polymyxin B
Enteroscipio rubneri;Temocillin
Entomohabitans;Acetylmidecamycin
Entomohabitans;Acetylspiramycin
Entomohabitans;Avoparcin
Entomohabitans;Azithromycin
Entomohabitans;Benzylpenicillin
Entomohabitans;Bleomycin
Entomohabitans;Cadazolid
Entomohabitans;Clarithromycin
Entomohabitans;Clindamycin
Entomohabitans;Cycloserine
Entomohabitans;Dalbavancin
Entomohabitans;Dirithromycin
Entomohabitans;Erythromycin
Entomohabitans;Flurithromycin
Entomohabitans;Fusidic acid
Entomohabitans;Gamithromycin
Entomohabitans;Josamycin
Entomohabitans;Kitasamycin
Entomohabitans;Lincomycin
Entomohabitans;Linezolid
Entomohabitans;Meleumycin
Entomohabitans;Midecamycin
Entomohabitans;Miocamycin
Entomohabitans;Nafithromycin
Entomohabitans;Norvancomycin
Entomohabitans;Oleandomycin
Entomohabitans;Oritavancin
Entomohabitans;Pirlimycin
Entomohabitans;Pristinamycin
Entomohabitans;Quinupristin/dalfopristin
Entomohabitans;Ramoplanin
Entomohabitans;Rifampicin
Entomohabitans;Rokitamycin
Entomohabitans;Roxithromycin
Entomohabitans;Solithromycin
Entomohabitans;Spiramycin
Entomohabitans;Tedizolid
Entomohabitans;Teicoplanin
Entomohabitans;Telavancin
Entomohabitans;Telithromycin
Entomohabitans;Thiacetazone
Entomohabitans;Tildipirosin
Entomohabitans;Tilmicosin
Entomohabitans;Troleandomycin
Entomohabitans;Tulathromycin
Entomohabitans;Tylosin
Entomohabitans;Tylvalosin
Entomohabitans;Vancomycin
Entomohabitans teleogrylli;Acetylmidecamycin
Entomohabitans teleogrylli;Acetylspiramycin
Entomohabitans teleogrylli;Avoparcin
Entomohabitans teleogrylli;Azithromycin
Entomohabitans teleogrylli;Benzylpenicillin
Entomohabitans teleogrylli;Bleomycin
Entomohabitans teleogrylli;Cadazolid
Entomohabitans teleogrylli;Clarithromycin
Entomohabitans teleogrylli;Clindamycin
Entomohabitans teleogrylli;Cycloserine
Entomohabitans teleogrylli;Dalbavancin
Entomohabitans teleogrylli;Dirithromycin
Entomohabitans teleogrylli;Erythromycin
Entomohabitans teleogrylli;Flurithromycin
Entomohabitans teleogrylli;Fusidic acid
Entomohabitans teleogrylli;Gamithromycin
Entomohabitans teleogrylli;Josamycin
Entomohabitans teleogrylli;Kitasamycin
Entomohabitans teleogrylli;Lincomycin
Entomohabitans teleogrylli;Linezolid
Entomohabitans teleogrylli;Meleumycin
Entomohabitans teleogrylli;Midecamycin
Entomohabitans teleogrylli;Miocamycin
Entomohabitans teleogrylli;Nafithromycin
Entomohabitans teleogrylli;Norvancomycin
Entomohabitans teleogrylli;Oleandomycin
Entomohabitans teleogrylli;Oritavancin
Entomohabitans teleogrylli;Pirlimycin
Entomohabitans teleogrylli;Pristinamycin
Entomohabitans teleogrylli;Quinupristin/dalfopristin
Entomohabitans teleogrylli;Ramoplanin
Entomohabitans teleogrylli;Rifampicin
Entomohabitans teleogrylli;Rokitamycin
Entomohabitans teleogrylli;Roxithromycin
Entomohabitans teleogrylli;Solithromycin
Entomohabitans teleogrylli;Spiramycin
Entomohabitans teleogrylli;Tedizolid
Entomohabitans teleogrylli;Teicoplanin
Entomohabitans teleogrylli;Telavancin
Entomohabitans teleogrylli;Telithromycin
Entomohabitans teleogrylli;Thiacetazone
Entomohabitans teleogrylli;Tildipirosin
Entomohabitans teleogrylli;Tilmicosin
Entomohabitans teleogrylli;Troleandomycin
Entomohabitans teleogrylli;Tulathromycin
Entomohabitans teleogrylli;Tylosin
Entomohabitans teleogrylli;Tylvalosin
Entomohabitans teleogrylli;Vancomycin
Entomoplasma;Aztreonam
Entomoplasma;Colistin
Entomoplasma;Nalidixic acid
Entomoplasma;Polymyxin B
Entomoplasma;Temocillin
Entomoplasma corruscae;Aztreonam
Entomoplasma corruscae;Colistin
Entomoplasma corruscae;Nalidixic acid
Entomoplasma corruscae;Polymyxin B
Entomoplasma corruscae;Temocillin
Entomoplasma ellychniae;Aztreonam
Entomoplasma ellychniae;Colistin
Entomoplasma ellychniae;Nalidixic acid
Entomoplasma ellychniae;Polymyxin B
Entomoplasma ellychniae;Temocillin
Entomoplasma freundtii;Aztreonam
Entomoplasma freundtii;Colistin
Entomoplasma freundtii;Nalidixic acid
Entomoplasma freundtii;Polymyxin B
Entomoplasma freundtii;Temocillin
Entomoplasma lucivorax;Aztreonam
Entomoplasma lucivorax;Colistin
Entomoplasma lucivorax;Nalidixic acid
Entomoplasma lucivorax;Polymyxin B
Entomoplasma lucivorax;Temocillin
Entomoplasma luminosum;Aztreonam
Entomoplasma luminosum;Colistin
Entomoplasma luminosum;Nalidixic acid
Entomoplasma luminosum;Polymyxin B
Entomoplasma luminosum;Temocillin
Entomoplasma melaleucae;Aztreonam
Entomoplasma melaleucae;Colistin
Entomoplasma melaleucae;Nalidixic acid
Entomoplasma melaleucae;Polymyxin B
Entomoplasma melaleucae;Temocillin
Entomoplasma somnilux;Aztreonam
Entomoplasma somnilux;Colistin
Entomoplasma somnilux;Nalidixic acid
Entomoplasma somnilux;Polymyxin B
Entomoplasma somnilux;Temocillin
Entomoplasmataceae;Aztreonam
Entomoplasmataceae;Colistin
Entomoplasmataceae;Nalidixic acid
Entomoplasmataceae;Polymyxin B
Entomoplasmataceae;Temocillin
Entomoplasmatales;Aztreonam
Entomoplasmatales;Colistin
Entomoplasmatales;Nalidixic acid
Entomoplasmatales;Polymyxin B
Entomoplasmatales;Temocillin
Eperythrozoon;Aztreonam
Eperythrozoon;Colistin
Eperythrozoon;Nalidixic acid
Eperythrozoon;Polymyxin B
Eperythrozoon;Temocillin
Eperythrozoon coccoides;Aztreonam
Eperythrozoon coccoides;Colistin
Eperythrozoon coccoides;Nalidixic acid
Eperythrozoon coccoides;Polymyxin B
Eperythrozoon coccoides;Temocillin
Eperythrozoon ovis;Aztreonam
Eperythrozoon ovis;Colistin
Eperythrozoon ovis;Nalidixic acid
Eperythrozoon ovis;Polymyxin B
Eperythrozoon ovis;Temocillin
Eperythrozoon parvum;Aztreonam
Eperythrozoon parvum;Colistin
Eperythrozoon parvum;Nalidixic acid
Eperythrozoon parvum;Polymyxin B
Eperythrozoon parvum;Temocillin
Eperythrozoon suis;Aztreonam
Eperythrozoon suis;Colistin
Eperythrozoon suis;Nalidixic acid
Eperythrozoon suis;Polymyxin B
Eperythrozoon suis;Temocillin
Eperythrozoon wenyoni;Aztreonam
Eperythrozoon wenyoni;Colistin
Eperythrozoon wenyoni;Nalidixic acid
Eperythrozoon wenyoni;Polymyxin B
Eperythrozoon wenyoni;Temocillin
Eperythrozoon wenyonii;Aztreonam
Eperythrozoon wenyonii;Colistin
Eperythrozoon wenyonii;Nalidixic acid
Eperythrozoon wenyonii;Polymyxin B
Eperythrozoon wenyonii;Temocillin
Epidermidibacterium;Aztreonam
Epidermidibacterium;Colistin
Epidermidibacterium;Nalidixic acid
Epidermidibacterium;Polymyxin B
Epidermidibacterium;Temocillin
Epidermidibacterium keratini;Aztreonam
Epidermidibacterium keratini;Colistin
Epidermidibacterium keratini;Nalidixic acid
Epidermidibacterium keratini;Polymyxin B
Epidermidibacterium keratini;Temocillin
Epilithonimonas;Acetylmidecamycin
Epilithonimonas;Acetylspiramycin
Epilithonimonas;Amikacin
Epilithonimonas;Amikacin/fosfomycin
Epilithonimonas;Amoxicillin
Epilithonimonas;Amoxicillin/clavulanic acid
Epilithonimonas;Ampicillin
Epilithonimonas;Ampicillin/sulbactam
Epilithonimonas;Apramycin
Epilithonimonas;Arbekacin
Epilithonimonas;Astromicin
Epilithonimonas;Avoparcin
Epilithonimonas;Azithromycin
Epilithonimonas;Aztreonam
Epilithonimonas;Bekanamycin
Epilithonimonas;Benzylpenicillin
Epilithonimonas;Bleomycin
Epilithonimonas;Cadazolid
Epilithonimonas;Cefacetrile
Epilithonimonas;Cefaclor
Epilithonimonas;Cefadroxil
Epilithonimonas;Cefalexin
Epilithonimonas;Cefaloridine
Epilithonimonas;Cefalotin
Epilithonimonas;Cefamandole
Epilithonimonas;Cefapirin
Epilithonimonas;Cefatrizine
Epilithonimonas;Cefazedone
Epilithonimonas;Cefazolin
Epilithonimonas;Cefmetazole
Epilithonimonas;Cefonicid
Epilithonimonas;Ceforanide
Epilithonimonas;Cefotaxime
Epilithonimonas;Cefotetan
Epilithonimonas;Cefotiam
Epilithonimonas;Cefoxitin
Epilithonimonas;Cefprozil
Epilithonimonas;Cefroxadine
Epilithonimonas;Ceftazidime
Epilithonimonas;Ceftezole
Epilithonimonas;Ceftriaxone
Epilithonimonas;Cefuroxime
Epilithonimonas;Cefuroxime axetil
Epilithonimonas;Cephradine
Epilithonimonas;Clarithromycin
Epilithonimonas;Clindamycin
Epilithonimonas;Colistin
Epilithonimonas;Cycloserine
Epilithonimonas;Dalbavancin
Epilithonimonas;Dibekacin
Epilithonimonas;Dirithromycin
Epilithonimonas;Ertapenem
Epilithonimonas;Erythromycin
Epilithonimonas;Flurithromycin
Epilithonimonas;Framycetin
Epilithonimonas;Fusidic acid
Epilithonimonas;Gamithromycin
Epilithonimonas;Gentamicin
Epilithonimonas;Habekacin
Epilithonimonas;Hygromycin
Epilithonimonas;Imipenem
Epilithonimonas;Isepamicin
Epilithonimonas;Josamycin
Epilithonimonas;Kanamycin
Epilithonimonas;Kanamycin/cephalexin
Epilithonimonas;Kitasamycin
Epilithonimonas;Lincomycin
Epilithonimonas;Linezolid
Epilithonimonas;Loracarbef
Epilithonimonas;Meleumycin
Epilithonimonas;Meropenem
Epilithonimonas;Micronomicin
Epilithonimonas;Midecamycin
Epilithonimonas;Miocamycin
Epilithonimonas;Nafithromycin
Epilithonimonas;Neomycin
Epilithonimonas;Netilmicin
Epilithonimonas;Norvancomycin
Epilithonimonas;Oleandomycin
Epilithonimonas;Oritavancin
Epilithonimonas;Pentisomicin
Epilithonimonas;Pirlimycin
Epilithonimonas;Plazomicin
Epilithonimonas;Polymyxin B
Epilithonimonas;Pristinamycin
Epilithonimonas;Propikacin
Epilithonimonas;Quinupristin/dalfopristin
Epilithonimonas;Ramoplanin
Epilithonimonas;Ribostamycin
Epilithonimonas;Rifampicin
Epilithonimonas;Rokitamycin
Epilithonimonas;Roxithromycin
Epilithonimonas;Sisomicin
Epilithonimonas;Solithromycin
Epilithonimonas;Spiramycin
Epilithonimonas;Streptoduocin
Epilithonimonas;Streptomycin
Epilithonimonas;Tedizolid
Epilithonimonas;Teicoplanin
Epilithonimonas;Telavancin
Epilithonimonas;Telithromycin
Epilithonimonas;Thiacetazone
Epilithonimonas;Ticarcillin
Epilithonimonas;Ticarcillin/clavulanic acid
Epilithonimonas;Tildipirosin
Epilithonimonas;Tilmicosin
Epilithonimonas;Tobramycin
Epilithonimonas;Troleandomycin
Epilithonimonas;Tulathromycin
Epilithonimonas;Tylosin
Epilithonimonas;Tylvalosin
Epilithonimonas;Vancomycin
Epilithonimonas arachidiradicis;Acetylmidecamycin
Epilithonimonas arachidiradicis;Acetylspiramycin
Epilithonimonas arachidiradicis;Amikacin
Epilithonimonas arachidiradicis;Amikacin/fosfomycin
Epilithonimonas arachidiradicis;Amoxicillin
Epilithonimonas arachidiradicis;Amoxicillin/clavulanic acid
Epilithonimonas arachidiradicis;Ampicillin
Epilithonimonas arachidiradicis;Ampicillin/sulbactam
Epilithonimonas arachidiradicis;Apramycin
Epilithonimonas arachidiradicis;Arbekacin
Epilithonimonas arachidiradicis;Astromicin
Epilithonimonas arachidiradicis;Avoparcin
Epilithonimonas arachidiradicis;Azithromycin
Epilithonimonas arachidiradicis;Aztreonam
Epilithonimonas arachidiradicis;Bekanamycin
Epilithonimonas arachidiradicis;Benzylpenicillin
Epilithonimonas arachidiradicis;Bleomycin
Epilithonimonas arachidiradicis;Cadazolid
Epilithonimonas arachidiradicis;Cefacetrile
Epilithonimonas arachidiradicis;Cefaclor
Epilithonimonas arachidiradicis;Cefadroxil
Epilithonimonas arachidiradicis;Cefalexin
Epilithonimonas arachidiradicis;Cefaloridine
Epilithonimonas arachidiradicis;Cefalotin
Epilithonimonas arachidiradicis;Cefamandole
Epilithonimonas arachidiradicis;Cefapirin
Epilithonimonas arachidiradicis;Cefatrizine
Epilithonimonas arachidiradicis;Cefazedone
Epilithonimonas arachidiradicis;Cefazolin
Epilithonimonas arachidiradicis;Cefmetazole
Epilithonimonas arachidiradicis;Cefonicid
Epilithonimonas arachidiradicis;Ceforanide
Epilithonimonas arachidiradicis;Cefotaxime
Epilithonimonas arachidiradicis;Cefotetan
Epilithonimonas arachidiradicis;Cefotiam
